ms_file,ms_file_label,peak_label,mz_mean,mz_width,rt,rt_min,rt_max,rt_unit,intensity_threshold,target_filename,peak_area,peak_area_top3,peak_n_datapoints,peak_max,peak_rt_of_max,peak_min,peak_median,peak_mean,peak_delta_int,peak_shape_rt,peak_shape_int,peak_mass_diff_25pc,peak_mass_diff_50pc,peak_mass_diff_75pc,peak_score,total_intensity,ms_file_size_MB
Data/mzML/Pos/QC_203.mzML,QC_203,Procyanidin B1,579.1496999999999,10,126.0,123.0,131.0,s,1000,unknown,5893931.0,461864.0,32,498519.0,125.11900329589844,1170.0,133509.5,184185.34375,41886.0,"123.12,123.62,124.12,124.62,125.12,125.62,126.12,126.62,127.12,127.62,128.12,128.62,129.11,129.61,130.11,130.61","1223,1877,10550,95081,309976,466055,498519,421018,320863,254486,201893,163326,117330,83154,59095,47009",-7.686418406158861,-0.44102573447570115,6.6989794074375215,0,23564395204,83.99830627441406
Data/mzML/Pos/QC_203.mzML,QC_203,Procyanidin B2,579.1496999999999,10,140.0,137.0,145.0,s,1000,unknown,25652801.0,1714881.0,32,1879854.0,139.6009979248047,26692.0,666740.0,801650.03125,195311.0,"137.1,137.6,138.1,138.6,139.1,139.6,140.1,140.6,141.1,141.6,142.1,142.6,143.1,143.6,144.1,144.6","29060,37229,132053,634324,1414525,1879854,1850265,1607946,1301460,1091352,919207,739491,559343,414601,319156,243455",-7.55468399394644,-0.2302506749358274,6.883407584534911,0,23564395204,83.99830627441406
Data/mzML/Pos/QC_203.mzML,QC_203,Isorhamnetin-3-O-β-D-Rutinoside,625.1763,10,178.0,175.0,182.0,s,1000,unknown,44184.0,3729.0,17,4199.0,177.55499267578125,1023.0,2510.0,2599.0588235294117,1487.0,"177.06,177.55,178.05,178.55,179.05,179.55,180.05,180.55,181.55","2510,3111,4198,4199,2792,2173,2066,1492,1023",-8.64006281103308,-8.151919256566922,5.320842846698989,0,23564395204,83.99830627441406
Data/mzML/Pos/QC_203.mzML,QC_203,procyanidyn c1,867.2130999999999,15,149.0,146.0,155.0,s,1000,unknown,6984905.0,358297.0,45,387470.0,146.09300231933594,9156.0,127920.0,155220.11111111112,104769.0,"146.09,146.59,147.09,147.59,148.09,148.59,149.09,149.59,150.09,150.59,151.09,151.59,152.09,152.59,153.09,153.58,154.08,154.58","15004,13929,18309,56260,189311,324525,387470,362898,316119,253913,213237,192774,157052,129149,121032,126615,127308,122750",-8.405607716189179,2.925701919527811,3.699890776626487,0,23564395204,83.99830627441406
Data/mzML/Pos/QC_203.mzML,QC_203,D-sorbitol,183.0863,10,20.0,18.0,22.0,s,1000,unknown,0.0,0.0,0,0.0,,0.0,,,,,,,,,0,23564395204,83.99830627441406
Data/mzML/Pos/QC_203.mzML,QC_203,(+)-Catechin,291.08633,10,135.0,131.0,140.0,s,1000,unknown,1682163.0,223727.0,18,239297.0,134.60699462890625,4157.0,72422.5,93453.5,28601.0,"131.11,131.61,132.11,132.61,133.11,133.61,134.11,134.61,135.11,135.61,136.11,136.6,137.1,137.6,138.1,138.6,139.1,139.6","4157,5396,4678,15853,74132,171163,230644,239297,201242,166315,133413,112154,87683,70713,56269,39784,36512,32758",1.6133412450384708,1.9016520696785355,2.1899628943186005,0,23564395204,83.99830627441406
Data/mzML/Pos/QC_126.mzML,QC_126,trans-3-coumaric acid,165.05464,10,177.0,176.0,181.0,s,1000,unknown,25185.0,4446.0,10,5787.0,176.97000122070312,1004.0,1899.5,2518.5,375.0,"176.47,176.97,177.47,177.97,178.47,178.97,179.47,179.97,180.47,180.96","1009,1004,2998,4440,5787,3111,1832,1967,1653,1384",6.158161354703575,6.620395832404414,7.013295138450127,0,21626602255,84.15081119537354
Data/mzML/Pos/QC_126.mzML,QC_126,Ellagic acid,303.0135672,10,170.52,166.92000000000002,174.12,s,1000,unknown,0.0,0.0,0,0.0,,0.0,,,,,,,,,0,21626602255,84.15081119537354
Data/mzML/Pos/QC_126.mzML,QC_126,Quercetin,303.0499,10,216.0,213.0,222.0,s,1000,unknown,168919.0,17776.0,18,21011.0,220.41700744628906,2013.0,7012.5,9384.388888888889,822.0,"213.43,213.93,214.42,214.92,215.42,215.92,216.42,216.92,217.42,217.92,218.42,218.92,219.42,219.92,220.42,220.92,221.42,221.91","2013,2177,2319,5213,12046,21011,20273,20602,16463,14551,11890,10310,8057,5968,5528,3531,4132,2835",-2.7313468012351345,-2.6306453057883448,-2.5299438103415555,0,21626602255,84.15081119537354
Data/mzML/Pos/QC_126.mzML,QC_126,Chlorogenic acid,355.10238,10,134.0,130.0,140.0,s,1000,unknown,13689902.0,1938936.0,20,2040959.0,137.0189971923828,1279.0,475048.0,684495.1,116526.0,"130.03,130.53,131.03,131.52,132.02,132.52,133.02,133.52,134.02,134.52,135.02,135.52,136.02,136.52,137.02,137.52,138.02,138.52,139.02,139.52","1665,1960,1279,1399,2961,62952,540829,1442247,2002983,2040959,1772868,1379245,1136090,949478,791202,585571,409267,276595,172161,118191",6.549690111602818,6.764540671918691,6.936421120171389,0,21626602255,84.15081119537354
